type,Word Count,Polarity,TTR,Subjectivity,Verb Ratio,Adjective Ratio,Personal Pronoun Ratio,Third-Person Pronoun Ratio
INFJ,0.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0
ENTP,2.0,3.0,1.0,3.0,3.0,0.0,3.0,1.0
INTP,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
INTJ,2.0,2.0,2.0,3.0,3.0,1.0,3.0,0.0
ENTJ,2.0,0.0,2.0,1.0,4.0,1.0,1.0,3.0
INTJ,4.0,0.0,1.0,3.0,3.0,0.0,1.0,2.0
INFJ,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0
INTJ,3.0,1.0,2.0,2.0,3.0,1.0,0.0,2.0
INFJ,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
INTP,3.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0
INFJ,4.0,0.0,1.0,2.0,4.0,0.0,1.0,3.0
ENFJ,1.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0
INFJ,3.0,1.0,1.0,3.0,2.0,0.0,1.0,4.0
INTJ,4.0,0.0,1.0,4.0,2.0,0.0,3.0,2.0
INTP,1.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0
INTP,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0
INFJ,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0
INFP,4.0,3.0,0.0,3.0,4.0,0.0,3.0,3.0
INFJ,4.0,3.0,1.0,3.0,3.0,0.0,2.0,0.0
INFP,2.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0
INTP,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0
INFJ,2.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0
ENTJ,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0
INFP,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0
ENTJ,2.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0
